,Food,Measure,Grams,Calories,Protein,Sat.Fat,Fiber,Carbs,Category
195,Orange juice,8 oz. or,250,112.0,250,0.0,2.0,25.0,Fruits G-P
197,Papaya,1/2 med.,200,75.0,200,0.0,18.0,18.0,Fruits G-P
198,Peaches,1 cup,257,200.0,257,0.0,1.0,52.0,Fruits G-P
199,"Fresh, raw",1 med.,114,35.0,114,0.0,6.0,10.0,Fruits G-P
200,Pears,1 cup,255,195.0,255,0.0,2.0,50.0,Fruits G-P
201,"Raw, 3 by 2V",1 med.,182,100.0,182,0.0,2.0,25.0,Fruits G-P
202,Persimmons,1 med.,125,75.0,125,0.0,2.0,20.0,Fruits G-P
203,Pineapple,1 large slice,122,95.0,122,0.0,4.0,26.0,Fruits G-P
204,Pineapple Crushed,1 cup,260,205.0,260,0.0,7.0,55.0,Fruits G-P
205,"Raw, diced",1 cup,140,75.0,140,0.0,6.0,19.0,Fruits G-P
206,Pineapple juice,1 cup,250,120.0,250,0.0,2.0,32.0,Fruits G-P
207,Plums,1 cup,256,185.0,256,0.0,7.0,50.0,Fruits G-P
208,"Raw, 2"" diameter",1,60,30.0,60,0.0,2.0,7.0,Fruits G-P
209,Prunes,1 cup,270,300.0,270,0.0,8.0,81.0,Fruits G-P
210,Prune juice,1 cup,240,170.0,240,0.0,7.0,45.0,Fruits G-P
211,Raisins,1/2 cup,88,230.0,88,0.0,7.0,82.0,Fruits R-Z
212,Raspberries,1/2 cup,100,100.0,100,0.0,2.0,25.0,Fruits R-Z
213,"Raw, red",3/4 cup,100,57.0,100,0.0,5.0,14.0,Fruits R-Z
214,Rhubarb sweetened,1 cup,270,385.0,270,0.0,19.0,98.0,Fruits R-Z
215,Strawberries,1 cup,227,242.0,227,0.0,13.0,60.0,Fruits R-Z
216,Raw,1 cup,149,54.0,149,0.0,19.0,12.0,Fruits R-Z
217,Tangerines,I med.,114,40.0,114,0.0,1.0,10.0,Fruits R-Z
218,Watermelon,1 wedge,925,120.0,925,0.0,36.0,29.0,Fruits R-Z
220,Bran flakes,1 cup,25,117.0,25,0.0,10.0,32.0,"Breads, cereals, fastfood,grains"
221,"Bread, cracked wheat",1 slice,23,60.0,23,1.0,10.0,12.0,"Breads, cereals, fastfood,grains"
222,Rye,1 slice,23,55.0,23,1.0,10.0,12.0,"Breads, cereals, fastfood,grains"
223,"White, 20 slices, or",1-lb. loaf,454,1225.0,454,12.0,900.0,229.0,"Breads, cereals, fastfood,grains"
224,Whole-wheat,1-lb. loaf,454,1100.0,454,10.0,6750.0,216.0,"Breads, cereals, fastfood,grains"
225,Whole-wheat,1 slice,23,55.0,23,0.0,31.0,11.0,"Breads, cereals, fastfood,grains"
226,Corn bread ground meal,1 serving,50,100.0,50,2.0,30.0,15.0,"Breads, cereals, fastfood,grains"
227,Cornflakes,1 cup,25,110.0,25,0.0,1.0,25.0,"Breads, cereals, fastfood,grains"
228,Corn grits cooked,1 cup,242,120.0,242,0.0,2.0,27.0,"Breads, cereals, fastfood,grains"
229,Corn meal,1 cup,118,360.0,118,2.0,16.0,74.0,"Breads, cereals, fastfood,grains"
