,Food,Serving,Calories
366,Vanilla Cone,1 cone (142 g),230
367,Vanilla Ice Cream,1 scoop (72 g),145
368,Cannelloni,2 oz. (56 g),82
369,Capellini,2 oz. (56 g),198
370,Cappelletti,2 oz. (56 g),92
371,Cellophane Noodles,1 cup (140 g),491
372,Cheese Tortellini,1 cup (113 g),329
373,Dampfnudel,1 dampfnudel (85 g),233
374,Dumpling Dough,2 oz. (56 g),55
375,Durum Wheat Semolina,2 oz. (56 g),222
376,Egg Noodles,1 cup (38 g),146
377,Farfalle,2 oz. (56 g),200
378,Fettuccine,2 oz. (56 g),198
379,Fusilli,2 oz. (56 g),197
380,Glass Noodles,2 oz. (56 g),108
381,Lasagne Sheets,1 sheet (21 g),57
382,Linguine,2 oz. (56 g),200
383,Low Carb Pasta,2 oz. (56 g),158
384,Macaroni,1 cup (114 g),422
385,Manicotti,2 oz. (56 g),200
386,Mostaccioli,2 oz. (56 g),103
387,Orecchiette,2 oz. (56 g),207
388,Orzo,2 oz. (56 g),200
389,Penne,2 oz. (56 g),197
390,Penne Rigate,2 oz. (56 g),207
391,Pierogi,3 pierogi (100 g),200
392,Ravioli,2 oz. (56 g),43
393,Rigatoni,2 oz. (56 g),198
394,Rotini,2 oz. (56 g),198
395,Shells,1 cup (85 g),300
396,Shirataki Noodles,2 oz. (56 g),10
397,Soy Noodles,2 oz. (56 g),121
398,Spaetzle,2 oz. (56 g),206
399,Spaghetti,2 oz. (56 g),207
400,Spinach Tortellini,1 cup (102 g),320
401,Spirelli,2 oz. (56 g),206
402,Tagliatelle,2 oz. (56 g),207
403,Tortellini,1 cup (113 g),329
404,Vermicelli,2 oz. (56 g),206
405,Whole Grain Noodles,2 oz. (56 g),194
406,Whole Grain Spaghetti,2 oz. (56 g),197
407,Ziti,2 oz. (56 g),197
408,BBQ Chicken Pizza,1 slice (132 g),309
409,BBQ Pizza,1 slice (140 g),314
410,Beef Pizza,1 slice (235 g),714
411,Bianca Pizza,1 slice (187 g),460
412,Buffalo Chicken Pizza,1 slice (238 g),600
413,Calabrese Pizza,1 slice (108 g),254
414,Calzone,1 calzone (364 g),841
415,Capricciosa Pizza,1 slice (74 g),192
416,Cheese Pizza,1 slice (63 g),168
417,Chicken Pizza,1 slice (132 g),309
418,Deep Dish Pizza,1 slice (118 g),313
419,Dominos Philly Cheese Steak Pizza,1 slice (159 g),356
420,Four Cheese Pizza,1 slice (113 g),250
421,Goat Cheese Pizza,1 slice (63 g),138
422,Grilled Pizza,1 slice (124 g),280
423,Hawaiian Pizza,1 slice (134 g),154
424,Margherita Pizza,1 slice (63 g),173
425,Mozzarella Pizza,1 slice (62 g),154
426,Mushroom Pizza,1 slice (288 g),611
427,Napoli Pizza,1 slice (123 g),248
428,New York Style Pizza,1 slice (103 g),174
429,Pepperoni Pizza,1 slice (71 g),181
430,Pizza Dough,2 oz. (57 g),130
431,Pizza Hut Stuffed Crust Pizza,1 slice (149 g),380
432,Pizza Hut Supreme Pizza,1 slice (123 g),305
433,Pizza Rolls,1 roll (14 g),35
434,Quattro Formaggi Pizza,1 slice (133 g),330
435,Red Pepper Pizza,1 slice (86 g),165
436,Salami Pizza,1 slice (71 g),181
437,Sausage Pizza,1 slice (72 g),177
438,Seafood Pizza,1 slice (76 g),186
439,Shrimp Pizza,1 slice (91 g),190
440,Sicilian Pizza,1 slice (133 g),321
441,Spinach Feta Pizza,1 slice (62 g),150
442,Spinach Pizza,1 slice (62 g),145
443,Stuffed Crust Pizza,1 slice (149 g),380
444,Tarte Flambée,1 square (56 g),142
445,Thin Crust Pizza,1 slice (60 g),157
446,Tuna Pizza,1 slice (125 g),318
447,Vegetable Pizza,1 slice (156 g),399
448,Vegetarian Pizza,1 slice (156 g),399
449,Veggie Pizza,1 slice (114 g),263
450,White Pizza,1 slice (232 g),571
451,Acerola,1 acerola (4.8 g),1
452,Asian Pear,1 pear (178 g),75
453,Avocado,1 avocado (200 g),320
454,Banana,1 banana (125 g),111
455,Breadfruit,1/4 breadfruit (96 g),99
456,Cantaloupe Melon,1 wedge (69 g),23
457,Casaba Melon,1 wedge (125 g),35
458,Cherimoya,1 cherimoya (235 g),176
459,Dragon Fruit,1 dragonfruit (200 g),120
460,Durian,1 durian (602 g),885
461,Feijoa,1 feijoa (42 g),23
462,Galia Melon,1 melon (130 g),30
463,Grapefruit,1/2 grapefruit (123 g),52
464,Guava,1 guava (55 g),37
465,Honeydew,1 wedge (125 g),45
466,Jackfruit,1 cup (151 g),143
